Kode Perusahaan Tercatat;Nama Perusahaan Tercatat;Tanggal Pencatatan;Sektor;Industri;Nilai Dana Dihimpun dari IPO (dalam Jutaan);Jumlah Saham Dicatatkan;Harga IPO;Pergerakan Harga Saham Sejak Tercatat;;;;;Pertumbuhan Kinerja Keuangan 1 Tahun Sejak Tercatat;;;;Nama Profesi Penunjang;;;;Terdapat Perubahan penggunaan Dana;Terdapat Perubahan Pengendali;Terdapat Perubahan manajemen;;Pergerakan Harga Saham Sejak IPO;;;;;;Pergerakan Harga Saham Sejak IPO;;;;;23/06/23;23/07/13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kolom Bantuan
;;;;;;;;1D;1W;1M;6M;1Y;"Aset 
(%)";"Liabilitas 
(%)";"Pendapatan 
(%)";"Laba Bersih 
(%)";Penjamin Pelaksana Emisi;Kantor Akuntan Publik;Konsultan Hukum;;;Konsultan Hukum;Konsultan Hukum;;1D;1W;1M;6M;1Y;;1D;1W;1M;6M;1Y;Last Price;Last Price;Pansus;Pansus;;Basis Data Keuangan;;Assets;;;;;; Liabilities ;;;;;;NilaiPendapatan;;;;;;ProfitLoss;;;;;;PriorEndYear
;;;;;;;;;;;;;;;;;;;;;;;;;Tanggal;Tanggal;Tanggal;Tanggal;Tanggal;;Harga;Harga;Harga;Harga;Harga;Harga;Harga;Tanggal;Kriteria;;;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;CurrentYear
FWCT;PT Wijaya Cahaya Timber Tbk;01-Feb-23;Basic Materials;Forestry & Paper; 44.250 ; 1.875.000.000 ; 118 ;35%;2%;-7%;-56%;;;;;;LOTUS ANDALAN SEKURITAS (YJ);AMIR ABADI JUSUF, ARYANTO, MAWAR & PARTNER (RSM INDONESIA);WARDHANA KRISTANTO LAWYERS;;;;;;11-Apr-22;18-Apr-22;10-May-22;10-Oct-22;10-Apr-23;; 382 ; 378 ; 238 ; 242 ; 94 ; 113 ; 109 ;;;;2022;;  ;  ;  ; 155.137.033.000.000 ; 151.137.756.000.000 ;;  ;  ;  ; 16.112.589.000.000 ; 16.614.931.000.000 ;;  ;  ;  ; 904.832.000.000 ; 1.497.371.000.000 ;;  ;  ;  ;-1.957.515.000.000 ;-6.613.866.000.000 ;;
NAYZ;PT Hassana Boga Sejahtera Tbk;06-Feb-23;Consumer Non-Cyclicals;Processed Foods; 51.000 ; 2.550.000.000 ; 100 ;-10%;-28%;-3%;-74%;;;;;;SURYA FAJAR SEKURITAS;KOSASIH, NURDIYAMAN, MULYADI, TJAHJO & PARTNER;SANTOSO, MARTINUS & MULIAWAN ADVOCATES;;;;;;12-Apr-22;19-Apr-22;11-May-22;11-Oct-22;11-Apr-23;; 615 ; 585 ; 680 ; 580 ; 498 ; 456 ; 462 ;;;;2022;;  ;  ;  ; 4.574.625.903.000 ; 5.115.271.340.000 ;;  ;  ;  ; 3.217.862.173.000 ; 3.045.489.535.000 ;;  ;  ;  ; 1.333.545.970.000 ; 1.770.137.910.000 ;;  ;  ;  ; 157.047.621.000 ; 507.133.428.000 ;;
IRSX;PT Aviana Sinar Abadi Tbk;07-Feb-23;Technology;Software; 101.000 ; 5.000.000.000 ; 101 ;2%;-7%;-9%;4%;;;;;;SHINHAN SEKURITAS INDONESIA (AH);MORHAN & PARTNERS;HANAFIAH PONGGAWA & PARTNERS;;;;;;20-Apr-22;26-Apr-22;19-May-22;19-Oct-22;18-Apr-23;; 1.600 ; 1.545 ; 1.630 ; 1.935 ; 1.515 ; 1.405 ; 1.460 ;;;;2022;;  ;  ;  ; 1.334.584.653.925 ; 1.532.779.590.781 ;;  ;  ;  ; 577.551.114.881 ; 418.608.974.367 ;;  ;  ;  ; 536.668.521.950 ; 398.846.574.306 ;;  ;  ;  ; 154.974.236.764 ; 37.194.460.667 ;;
PACK;PT Solusi Kemasan Digital Tbk;08-Feb-23;Basic Materials;Containers & Packaging; 49.896 ; 1.537.546.000 ; 162 ;-10%;-37%;-33%;4%;;;;;;NH KORINDO SEKURITAS INDONESIA (XA);ANWAR & PARTNER;TUMBUAN & PARTNERS;;;;;;25-Apr-22;09-May-22;24-May-22;24-Oct-22;18-Apr-23;; 135 ; 212 ; 176 ; 50 ; 50 ; 50 ; 50 ;31-May-23;1;;2022;;  ;  ;  ; 263.721.747.744 ; 421.439.668.543 ;;  ;  ;  ; 86.978.093.173 ; 97.549.646.563 ;;  ;  ;  ; 20.605.691.350 ; 19.477.140.955 ;;  ;  ;  ; 3.697.266.975 ; 728.783.876 ;;
CHIP;PT Pelita Teknologi Global Tbk;08-Feb-23;Technology;Electronic Equipment, Instruments & Components; 32.000 ; 806.000.000 ; 160 ;10%;44%;322%;888%;;;;;;LOTUS ANDALAN SEKURITAS (YJ);MAURICE GANDA NAINGGOLAN & PARTNER;WARDHANA KRISTANTO LAWYERS;;;;;;25-Apr-22;09-May-22;24-May-22;24-Oct-22;18-Apr-23;; 110 ; 118 ; 121 ; 92 ; 252 ; 346 ; 328 ;;;;2022;;  ;  ;  ; 202.565.172.947 ; 358.942.794.715 ;;  ;  ;  ; 35.082.896.375 ; 35.648.168.406 ;;  ;  ;  ; 31.734.577.335 ; 36.370.269.602 ;;  ;  ;  ; 2.079.018.351 ; 3.436.228.843 ;;
VAST;PT Vastland Indonesia Tbk;08-Feb-23;Properties & Real Estate;Real Estate Management & Development; 70.200 ; 3.055.700.000 ; 108 ;-6%;0%;-8%;-36%;;;;;;ERDIKHA ELIT SEKURITAS (AO);PAUL HADIWINATA, HIDAJAT, ARSONO, RETNO, PALILINGAN & PARTNER;FAHMY HOESSEIN & PARTNERS;;;;;;17-May-22;23-May-22;16-Jun-22;16-Nov-22;16-May-23;; 101 ; 100 ; 101 ; 30 ; 21 ; 20 ; 16 ;;;;2022;;  ;  ;  ; 30.750.634.478 ; 59.853.011.825 ;;  ;  ;  ; 13.844.928.804 ; 5.902.157.977 ;;  ;  ;  ; 21.393.225.660 ; 25.559.671.159 ;;  ;  ;  ; 971.502.891 ; 531.100.739 ;;
HALO;PT Haloni Jane Tbk;08-Feb-23;Healthcare;Healthcare Equipment & Supplies; 113.000 ; 5.650.000.000 ; 100 ;17%;19%;17%;-20%;;;;;;"DANATAMA MAKMUR SEKURITAS (II); KB VALBURY SEKURITAS (CP)"; HENDRAWINATA HANNY ERWIN & SUMARGO (HHES);ERY YUNASRI & PARTNERS;;;;;;27-May-22;03-Jun-22;24-Jun-22;25-Nov-22;26-May-23;; 135 ; 380 ; 186 ; 135 ; 96 ; 104 ; 112 ;;;;2022;;  ;  ;  ; 111.214.725.232 ; 252.880.879.241 ;;  ;  ;  ; 33.335.986.239 ; 37.949.712.156 ;;  ;  ;  ; 138.766.427.817 ; 171.895.140.862 ;;  ;  ;  ; 2.151.140.820 ; 11.655.465.395 ;;
KING;PT Hoffmen Cleanindo Tbk;16-Feb-23;Industrials;Professional Services; 67.600 ; 2.600.000.000 ; 130 ;-10%;-12%;32%;4%;;;;;;NH KORINDO SEKURITAS INDONESIA (XA);MORHAN & PARTNER;TUMBUAN & PARTNERS;;;;;;07-Jul-22;13-Jul-22;05-Aug-22;06-Jan-23;06-Jul-23;; 216 ; 163 ; 144 ; 100 ; - ; 78 ; 81 ;;;;2022;;  ;  ;  ; 266.575.203.347 ; 261.650.798.482 ;;  ;  ;  ; 143.767.141.358 ; 130.884.777.524 ;;  ;  ;  ; 50.719.323.789 ; 58.067.542.490 ;;  ;  ;  ; 7.113.554.176 ; 7.957.958.969 ;;
PGEO;PT Pertamina Geothermal Energy Tbk;24-Feb-23;Infrastructures;Electric Utilities; 9.056.250 ; 41.396.142.000 ; 875 ;0%;-1%;-9%;19%;;;;;;"CLSA SEKURITAS INDONESIA (KZ); CREDIT SUISSE SEKURITAS INDONESIA (CS); MANDIRI SEKURITAS (CC); HSBC SEKURITAS INDONESIA (GW); BAHANA SEKURITAS (DX); DANASAKTI SEKURITAS INDONESIA (PF); SAMUEL SEKURITAS INDONESIA (IF)";PURWANTO, SUNGKORO & SURJA (ERNST & YOUNG GLOBAL LIMITED);GINTING & REKSODIPUTRO;;;;;;08-Jul-22;14-Jul-22;05-Aug-22;06-Jan-23;07-Jul-23;; 262 ; 470 ; 340 ; 220 ; - ; 206 ; 216 ;;;;2022;;  ;  ;  ; 1.981.063.656.588 ; 2.439.893.926.163 ;;  ;  ;  ; 1.310.302.680.834 ; 1.749.442.142.076 ;;  ;  ;  ; 1.485.945.196.157 ; 1.560.870.992.005 ;;  ;  ;  ; 17.356.394.681 ; 19.690.808.333 ;;
FUTR;PT Lini Imaji Kreasi Ekosistem Tbk;27-Feb-23;Consumer Cyclicals;Media; 127.800 ; 6.390.000.000 ; 100 ;0%;42%;21%;-50%;;;;;;"INDO CAPITAL SEKURITAS; KGI SEKURITAS INDONESIA (HD)";MORHAN & PARTNERS;HANAFIAH PONGGAWA & PARTNERS;;;;;;08-Jul-22;14-Jul-22;05-Aug-22;06-Jan-23;07-Jul-23;; 155 ; 125 ; 123 ; 141 ; - ; 103 ; 109 ;;;;2022;;  ;  ;  ; 90.598.393.183 ; 102.545.341.897 ;;  ;  ;  ; 48.497.676.787 ; 54.604.912.020 ;;  ;  ;  ; 40.527.157.212 ; 64.245.735.184 ;;  ;  ;  ; 3.419.650.405 ; 5.839.713.481 ;;
HILL;PT Hillcon Tbk;01-Mar-23;Energy;Oil, Gas & Coal Supports; 552.875 ; 2.948.300.000 ; 1.250 ;6%;26%;62%;132%;;;;;;"MIRAE ASSET SEKURITAS INDONESIA (YP); SUCOR SEKURITAS (AZ); MACQUARIE SEKURITAS INDONESIA (RX)";KANAKA PURADIREDJA, SUHARTONO;TUMBUAN & PARTNERS;;;;;;08-Jul-22;14-Jul-22;05-Aug-22;06-Jan-23;07-Jul-23;; 280 ; 314 ; 595 ; 565 ; - ; 635 ; 615 ;;;;2022;;  ;  ;  ; 688.613.746.702 ; 751.146.251.439 ;;  ;  ;  ; 517.588.126.470 ; 557.974.256.970 ;;  ;  ;  ; 50.998.610.558 ; 69.361.891.424 ;;  ;  ;  ; 13.970.072.364 ; 22.146.374.237 ;;
BDKR;PT Berdikari Pondasi Perkasa Tbk;03-Mar-23;Infrastructures;Heavy Constructions & Civil Engineering; 141.220 ; 4.707.100.000 ; 200 ;15%;29%;28%;153%;;;;;;SEMESTA INDOVEST SEKURITAS (MG);MORHAN & PARTNERS;ADAMS & CO. COUNSELLORS AT LAW ;;;;;;18-Jul-22;22-Jul-22;16-Aug-22;17-Jan-23;17-Jul-23;; 135 ; 148 ; 178 ; 224 ; - ; 150 ; 68 ;;;;2022;;  ;  ;  ; 85.111.029.983 ; 92.797.192.884 ;;  ;  ;  ; 12.782.310.197 ; 15.415.120.406 ;;  ;  ;  ; 40.957.250.176 ; 55.583.769.103 ;;  ;  ;  ; 4.070.755.067 ; 5.053.352.692 ;;
PTMP;PT Mitra Pack Tbk;06-Mar-23;Industrials;Machinery; 96.000 ; 3.169.200.000 ; 120 ;19%;13%;77%;14%;;;;;;NH KORINDO SEKURITAS INDONESIA (XA);MAURICE GANDA NAINGGOLAN AND PARTNERS (MGN);ANDREAS, SHEILA & PARTNERS LAW OFFICE;;;;;;20-Jul-22;26-Jul-22;19-Aug-22;19-Jan-23;18-Jul-23;; 189 ; 216 ; 284 ; 200 ; - ; 148 ; 147 ;;;;2022;;  ;  ;  ; 696.901.382.834 ; 947.590.663.323 ;;  ;  ;  ; 429.874.685.913 ; 674.590.558.491 ;;  ;  ;  ; 154.188.034.561 ; 246.442.260.591 ;;  ;  ;  ; 4.618.026.353 ; 5.989.701.573 ;;
TRON;PT Teknologi Karya Digital Nusa Tbk;08-Mar-23;Technology;Software; 135.000 ; 2.950.000.000 ; 180 ;31%;50%;53%;64%;;;;;;SURYA FAJAR SEKURITAS;HLB HADORI SUGIARTO ADI & PARTNER;HANAFIAH PONGGAWA & PARTNERS;;;;;;25-Jul-22;29-Jul-22;24-Aug-22;24-Jan-23;24-Jul-23;; 117 ; 102 ; 216 ; 370 ; - ; 84 ; 84 ;;;;2022;;  ;  ;  ; 122.730.623.494 ; 140.990.687.467 ;;  ;  ;  ; 74.356.681.474 ; 81.508.619.156 ;;  ;  ;  ; 69.315.922.320 ; 92.226.669.603 ;;  ;  ;  ; 5.497.608.028 ; 10.128.126.291 ;;
SAGE;PT Saausaha Gemilangindah Tbk;08-Mar-23;Properties & Real Estate;Real Estate Management & Development; 161.000 ; 8.033.250.000 ; 100 ;35%;40%;272%;-50%;;;;;;"DANATAMA MAKMUR SEKURITAS (II); AARTHA SEKURITAS INDONESIA (SH)";JAMALUDIN, ARDI, SUKIMTO & REKAN;IRMA & SOLOMON LAW FIRM;;;;;;26-Jul-22;01-Aug-22;25-Aug-22;25-Jan-23;25-Jul-23;; 163 ; 188 ; 450 ; 290 ; - ; 268 ; 212 ;;;;2022;;  ;  ;  ; 436.060.259.371 ; 469.837.091.894 ;;  ;  ;  ; 66.102.640.215 ; 67.042.744.882 ;;  ;  ;  ; 85.648.296.351 ; 178.924.288.541 ;;  ;  ;  ; 19.863.323.957 ; 66.794.347.012 ;;
CUAN;PT Petrindo Jaya Kreasi Tbk;08-Mar-23;Energy;Coal; 371.800 ; 11.241.890.000 ; 220 ;25%;200%;309%;991%;;;;;;"HENAN PUTIHRAI SEKURITAS (HP); BRI DANAREKSA SEKURITAS (OD)";TANUBRATA SUTANTO FAHMI BAMBANG & PARTNERS, JOHANNES JUARA & PARTNERS;HISWARA BUNJAMIN & TANDJUNG;;;;;;02-Aug-22;08-Aug-22;01-Sep-22;01-Feb-23;01-Aug-23;; 122 ; 143 ; 115 ; 134 ; - ; 115 ; 123 ;;;;2022;;  ;  ;  ; 13.223.866.335 ; 56.360.444.017 ;;  ;  ;  ; 3.505.967.603 ; 17.257.610.906 ;;  ;  ;  ; 35.359.963.037 ; 60.891.278.469 ;;  ;  ;  ; 3.029.717.426 ; 3.759.934.379 ;;
NSSS;PT Nusantara Sawit Sejahtera Tbk;10-Mar-23;Consumer Non-Cyclicals;Agricultural Products; 453.166 ; 23.788.235.300 ; 127 ;6%;3%;14%;52%;;;;;;"SAMUEL SEKURITAS INDONESIA (IF); BRI DANAREKSA SEKURITAS (OD); SUCOR SEKURITAS (AZ); MIRAE ASSET SEKURITAS INDONESIA (YP); YULIE SEKURITAS INDONESIA TBK (RS); PHILLIP SEKURITAS INDONESIA (KK); DANASAKTI SEKURITAS INDONESIA (PF)";PURWANTONO, SUNGKORO & SURJA;BUDIARTO LAW PARTNERSHIP;;;;;;03-Aug-22;09-Aug-22;02-Sep-22;02-Feb-23;02-Aug-23;; 254 ; 228 ; 210 ; 444 ; - ; 354 ; 336 ;;;;2022;;  ;  ;  ; 135.274.454.784 ; 190.396.605.856 ;;  ;  ;  ; 41.686.056.528 ; 44.883.163.470 ;;  ;  ;  ; 135.922.226.432 ; 132.163.731.635 ;;  ;  ;  ; 5.403.100.129 ; 1.580.321.757 ;;
GTRA;PT Grahaprima Suksesmandiri Tbk;30-Mar-23;Transportation & Logistic;Logistics & Deliveries; 56.831 ; 1.894.375.000 ; 150 ;35%;85%;77%;39%;;;;;;UOB KAY HIAN SEKURITAS (AI);JAMALUDIN, ARDI, SUKIMTO & REKAN;MAKES & PARTNERS LAW FIRM;;;;;;04-Aug-22;10-Aug-22;02-Sep-22;03-Feb-23;03-Aug-23;; 374 ; 505 ; 438 ; 276 ; - ; 214 ; 216 ;;;;2022;;  ;  ;  ; 2.407.028.987.204 ; 3.175.036.175.406 ;;  ;  ;  ; 1.656.771.000.877 ; 2.021.832.610.592 ;;  ;  ;  ; 157.010.553.264 ; 3.428.559.176.911 ;;  ;  ;  ;-34.130.725.837 ; 40.396.048.487 ;;
HAJJ;PT Arsy Buana Travelindo Tbk;05-Apr-23;Consumer Cyclicals;Tourism & Recreation; 96.194 ; 2.290.500.000 ; 140 ;10%;25%;211%;9%;;;;;;SURYA FAJAR SEKURITAS;JAMALUDIN, ARDI, SUKIMTO & PARTNERS;ASNP LAW OFFICE;;;;;;04-Aug-22;10-Aug-22;02-Sep-22;03-Feb-23;03-Aug-23;; 105 ; 108 ; 135 ; 41 ; - ; 45 ; 43 ;;;;2022;;  ;  ;  ; 47.276.471.688 ; 70.576.821.910 ;;  ;  ;  ; 1.143.605.360 ; 2.010.325.612 ;;  ;  ;  ; 5.662.734.100 ; 9.981.424.190 ;;  ;  ;  ; 680.054.050 ; 1.620.835.000 ;;
PIPA;PT Multi Makmur Lemindo Tbk;10-Apr-23;Industrials;Building Products & Fixtures; 97.125 ; 3.425.000.000 ; 105 ;34%;60%;1%;-52%;;;;;;SHINHAN SEKURITAS INDONESIA (AH);MORHAN DAN REKAN;ALDJUFRI GILL PRISCILLA RIZKI (AGPR) LAW FIRM;;;;;;05-Aug-22;11-Aug-22;02-Sep-22;03-Feb-23;04-Aug-23;; 170 ; 175 ; 232 ; 116 ; - ; 50 ; 50 ;;;;2022;;  ;  ;  ; 75.128.471.175 ; 188.817.413.648 ;;  ;  ;  ; 27.434.794.863 ; 23.511.335.933 ;;  ;  ;  ; 54.787.684.119 ; 104.616.177.211 ;;  ;  ;  ; 4.769.186.617 ; 10.990.664.088 ;;
NCKL;PT Trimegah Bangun Persada Tbk;12-Apr-23;Basic Materials;Metals & Minerals; 9.997.000 ; 63.098.600.000 ; 1.250 ;4%;16%;-10%;-21%;;;;;;"BNP PARIBAS SECURITIES INDONESIA (BW); CITIGROUP SEKURITAS INDONESIA (CG); CREDIT SUISSE SEKURITAS INDONESIA (CS); MANDIRI SEKURITAS (CC); DBS VICKERS SEKURITAS INDONESIA (DP); OCBC SEKURITAS INDONESIA (TP); UOB KAY HIAN SEKURITAS (AI)";PURWANTONO, SUNGKORO & SURJA;WITARA CAKRA ADVOCATES;;;;;;08-Aug-22;12-Aug-22;07-Sep-22;07-Feb-23;07-Aug-23;; 70 ; 70 ; 70 ; 362 ; - ; 190 ; 216 ;;;;2022;;  ;  ;  ; 21.664.481.000 ; 60.613.787.000 ;;  ;  ;  ; 6.090.145.000 ; 8.218.910.000 ;;  ;  ;  ; 24.878.124.000 ; 30.319.967.000 ;;  ;  ;  ; 3.823.840.000 ; 5.881.498.000 ;;
MBMA;PT Merdeka Battery Materials Tbk;18-Apr-23;Basic Materials;Metals & Minerals; 9.182.250 ; 107.995.419.900 ; 795 ;11%;1%;-1%;-10%;;;;;;"INDO PREMIER SEKURITAS (PD); TRIMEGAH SEKURITAS INDONESIA TBK. (LG); UBS SEKURITAS INDONESIA (AK); MACQUARIE SEKURITAS INDONESIA (RX); SUCOR SEKURITAS (AZ); ALDIRACITA SEKURITAS INDONESIA (PP); CIPTADANA SEKURITAS ASIA (KI)";TANUBRATA SUTANTO FAHMI BAMBANG & PARTNERS;ASSEGAF HAMZAH & PARTNERS;;;;;;08-Aug-22;12-Aug-22;07-Sep-22;07-Feb-23;07-Aug-23;; 127 ; 119 ; 170 ; 94 ; - ; 73 ; 72 ;;;;2022;;  ;  ;  ; 112.100.477.269 ; 126.915.323.347 ;;  ;  ;  ; 80.735.754.304 ; 65.247.570.476 ;;  ;  ;  ; 162.799.411.052 ; 167.662.595.864 ;;  ;  ;  ; 14.739.335.289 ; 5.655.053.266 ;;
MENN;PT Menn Teknologi Indonesia Tbk;18-Apr-23;Technology;Electronic Equipment, Instruments & Components; 33.556 ; 1.434.000.000 ; 78 ;-9%;-31%;-45%;42%;;;;;;"INDO CAPITAL SEKURITAS; KGI SEKURITAS INDONESIA (HD)";GIDEON ADI & PARTNERS;ARKANANTA VENNOOTSCHAP;;;;;;08-Aug-22;12-Aug-22;07-Sep-22;07-Feb-23;07-Aug-23;; 270 ; 274 ; 228 ; 206 ; - ; 254 ; 234 ;;;;2022;;  ;  ;  ; 1.634.291.828.268 ; 1.898.334.331.223 ;;  ;  ;  ; 297.957.648.445 ; 233.182.021.220 ;;  ;  ;  ; 416.705.277.950 ; 457.391.170.823 ;;  ;  ;  ; 108.071.976.238 ; 83.131.640.220 ;;
AWAN;PT Era Digital Media Tbk;18-Apr-23;Technology;Online Applications & Services; 75.000 ; 3.435.000.000 ; 100 ;35%;212%;152%;134%;;;;;;"SAMUEL SEKURITAS INDONESIA (IF); SUCOR SEKURITAS (AZ)";JAMALUDIN, ARDI, SUKIMTO & PARTNERS (AUDITRUST INTERNATIONAL);WILLIAM HENDRIK & SIREGAR DJOJONEGORO LAW GROUP;;;;;;08-Aug-22;12-Aug-22;07-Sep-22;07-Feb-23;07-Aug-23;; 494 ; 580 ; 585 ; 436 ; - ; 470 ; 468 ;;;;2022;;  ;  ;  ; 14.565.401.098.078 ; 14.958.923.815.087 ;;  ;  ;  ; 10.007.023.391.095 ; 9.992.145.992.284 ;;  ;  ;  ; 2.071.397.628.182 ; 2.146.381.930.782 ;;  ;  ;  ; 348.612.234.733 ; 400.463.237.644 ;;
JATI;PT Informasi Teknologi Indonesia Tbk;08-May-23;Technology;Online Applications & Services; 65.250 ; 3.262.500.000 ; 100 ;35%;114%;45%;-28%;;;;;;"KGI SEKURITAS INDONESIA (HD); SHINHAN SEKURITAS INDONESIA (AH)";ANWAR & PARTNERS;GENIO ATYANTO & PARTNERS;;;;;;09-Aug-22;15-Aug-22;08-Sep-22;08-Feb-23;08-Aug-23;; 171 ; 138 ; 109 ; 75 ; - ; 56 ; 57 ;;;;2022;;  ;  ;  ; 134.793.372.381 ; 209.450.939.484 ;;  ;  ;  ; 32.596.983.842 ; 47.421.768.646 ;;  ;  ;  ; 84.047.762.912 ; 77.447.772.694 ;;  ;  ;  ; 10.674.590.717 ; 13.452.399.099 ;;
RAAM;PT Tripar Multivision Plus Tbk;08-May-23;Consumer Cyclicals;Entertainment & Movie Production; 217.433 ; 6.194.200.000 ; 234 ;25%;201%;225%;105%;;;;;;"UOB KAY HIAN SEKURITAS (AI); SUCOR SEKURITAS (AZ)";TANUBRATA SUTANTO FAHMI BAMBANG & PARTNERS;WILLIAM HENDRIK & SIREGAR DJOJONEGORO LAW GROUP;;;;;;09-Aug-22;15-Aug-22;08-Sep-22;08-Feb-23;08-Aug-23;; 90 ; 74 ; 56 ; 31 ; - ; 37 ; 44 ;;;;2022;;  ;  ;  ; 24.209.726.495 ; 27.117.472.092 ;;  ;  ;  ; 13.326.758.691 ; 12.326.923.159 ;;  ;  ;  ; 1.425.829.338 ; 3.065.528.522 ;;  ;  ;  ; 33.329.876 ; 157.581.130 ;;
TYRE;PT King Tire Indonesia Tbk;08-May-23;Consumer Cyclicals;Auto Components; 96.600 ; 3.478.020.000 ; 138 ;35%;2%;-11%;-12%;;;;;;VICTORIA SEKURITAS INDONESIA (MI);MORHAN & PARTNERS;LOU & MITRA LAW FIRM;;;;;;09-Aug-22;15-Aug-22;08-Sep-22;08-Feb-23;08-Aug-23;; 484 ; 466 ; 625 ; 1.080 ; - ; 1.475 ; 1.635 ;;;;2022;;  ;  ;  ; 247.735.899.391 ; 362.831.979.102 ;;  ;  ;  ; 192.351.926.809 ; 216.220.075.681 ;;  ;  ;  ; 695.500.069.725 ; 943.667.030.130 ;;  ;  ;  ; 25.982.243.782 ; 20.463.237.876 ;;
DOOH;PT Era Media Sejahtera Tbk;08-May-23;Consumer Cyclicals;Media; 154.750 ; 7.737.500.000 ; 100 ;5%;-1%;-48%;60%;;;;;;"INDO CAPITAL SEKURITAS; KGI SEKURITAS INDONESIA (HD)";MORHAN & PARTNERS;HANAFIAH PONGGAWA & PARTNERS;;;;;;10-Aug-22;16-Aug-22;09-Sep-22;09-Feb-23;09-Aug-23;; 168 ; 284 ; 268 ; 125 ; - ; 96 ; 87 ;;;;2022;;  ;  ;  ; 49.980.804.342 ; 84.166.642.537 ;;  ;  ;  ; 17.517.367.493 ; 12.641.832.052 ;;  ;  ;  ; 63.401.103.275 ; 31.606.158.520 ;;  ;  ;  ; 33.088.611.587 ; 2.944.018.180 ;;
MPXL;PT MPX Logistics International Tbk;09-May-23;Transportation & Logistic;Logistics & Deliveries; 43.200 ; 2.000.000.000 ; 108 ;34%;14%;15%;59%;;;;;;PANIN SEKURITAS TBK. (GR);PAUL HADIWINATA, HIDAJAT, ARSONO, RETNO, PALILINGAN & PARTNERS;FAHMY HOESSEIN & PARTNERS;;;;;;10-Aug-22;16-Aug-22;09-Sep-22;09-Feb-23;09-Aug-23;; 202 ; 234 ; 238 ; 212 ; - ; 240 ; 230 ;;;;2022;;  ;  ;  ; 289.436.624.890 ; 332.798.980.003 ;;  ;  ;  ; 176.108.019.012 ; 212.162.717.213 ;;  ;  ;  ; 246.072.357.224 ; 323.065.666.849 ;;  ;  ;  ; 3.307.142.911 ; 7.307.656.865 ;;
SMIL;PT Sarana Mitra Luas Tbk;12-May-23;Industrials;Machinery; 175.000 ; 8.750.000.000 ; 100 ;35%;48%;43%;26%;;;;;;"MNC SEKURITAS (EP); KB VALBURY SEKURITAS (CP); ERDIKHA ELIT SEKURITAS (AO)";DOLI, BAMBANG, SULISTIYANTO, DADAN, & ALI;WARDHANA KRISTANTO LAWYER;;;;;;07-Sep-22;13-Sep-22;06-Oct-22;06-Mar-23;06-Sep-23;; 135 ; 380 ; 454 ; 136 ; - ; 90 ; 88 ;;;;2022;;  ;  ;  ; 197.591.903.191 ; 412.415.248.232 ;;  ;  ;  ; 118.283.620.636 ; 251.675.466.152 ;;  ;  ;  ; 54.603.835.310 ; 367.069.127.852 ;;  ;  ;  ; 5.839.715.317 ; 83.376.265.104 ;;
KLAS;PT Pelayaran Kurnia Lautan Semesta Tbk;12-Jun-23;Transportation & Logistic;Logistics & Deliveries; 78.840 ; 2.165.000.000 ; 146 ;35%;-9%;-29%;-39%;;;;;;PANIN SEKURITAS TBK. (GR);Y. SANTOSA & PARTNERS;ADAMS & CO., COUNSELLORS – AT – LAW;;;;;;08-Nov-22;14-Nov-22;07-Dec-22;05-May-23;07-Nov-23;; 252 ; 258 ; 238 ; 197 ; - ; 185 ; 184 ;;;;2022;;  ;  ;  ; 1.726.399.771.843 ; 2.507.318.880.538 ;;  ;  ;  ; 480.957.444.798 ; 437.898.413.298 ;;  ;  ;  ; 2.226.573.432.351 ; 1.739.054.461.606 ;;  ;  ;  ; 570.379.367.739 ; 290.506.828.059 ;;
MAXI;PT Maxindo Karya Anugerah Tbk;12-Jun-23;Consumer Non-Cyclicals;Processed Foods; 100.000 ; 9.610.000.000 ; 100 ;-15%;-42%;-39%;-50%;;;;;;SHINHAN SEKURITAS INDONESIA (AH);KOSASIH, NURDIYAMAN, MULYADI, TJAHJO & PARTNERS;HANAFIAH PONGGAWA & PARTNERS (DENTONS HPRP);;;;;;08-Nov-22;14-Nov-22;07-Dec-22;05-May-23;07-Nov-23;; 860 ; 835 ; 1.300 ; 1.930 ; - ; 2.270 ; 2.840 ;;;;2022;;  ;  ;  ; 2.025.802.000.000 ; 3.019.974.000.000 ;;  ;  ;  ; 1.937.097.000.000 ; 2.250.454.000.000 ;;  ;  ;  ; 8.662.321.000.000 ; 9.619.267.000.000 ;;  ;  ;  ; 286.102.000.000 ; 223.147.000.000 ;;
